Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
19 Apr,0.0,0.0,0.0,0.0,28.8,33.6,25.8,6.2,27.0
20 Apr,0.0,0.0,0.0,0.0,28.0,30.1,26.3,7.0,45.0
21 Apr,3.8,2.0,3.4,3.8,26.7,28.7,25.3,4.8,36.0
22 Apr,0.0,0.0,0.0,0.0,28.0,33.4,25.4,4.1,27.7
23 Apr,4.2,3.4,4.2,4.2,28.1,32.4,25.7,5.2,39.2
24 Apr,0.6,0.2,0.4,0.6,28.2,33.7,25.5,6.7,29.9
25 Apr,0.0,0.0,0.0,0.0,28.3,33.7,25.8,4.7,27.0
26 Apr,2.8,2.6,2.6,2.6,28.6,32.0,27.1,4.2,24.5
27 Apr,2.8,2.2,2.6,2.6,28.5,31.7,24.5,5.3,38.9
28 Apr,15.6,7.0,7.6,8.4,28.4,32.6,24.8,5.1,31.7
29 Apr,38.0,34.0,37.8,38.0,28.4,31.9,24.7,4.6,35.3
30 Apr,0.0,0.0,0.0,0.0,28.3,31.3,26.5,5.6,22.0
1 Mar,0.0,0.0,0.0,0.0,27.2,31.9,25.2,8.1,38.9
2 Mar,0.0,0.0,0.0,0.0,27.7,33.8,24.7,7.0,30.6
3 Mar,0.0,0.0,0.0,0.0,27.4,32.5,25.0,6.9,36.7
4 Mar,0.0,0.0,0.0,0.0,27.3,32.0,25.1,8.2,36.7
5 Mar,0.0,0.0,0.0,0.0,27.6,34.2,24.5,7.7,39.2
6 Mar,0.0,0.0,0.0,0.0,27.0,31.0,24.3,8.1,38.2
7 Mar,0.0,0.0,0.0,0.0,27.3,31.5,24.7,7.7,33.1
8 Mar,0.0,0.0,0.0,0.0,27.6,32.9,25.2,7.9,37.8
